GAI_Sum_Scaled_Scores,GAI
5,40
6,44
7,47
8,49
9,51
10,53
11,54
12,55
13,56
14,57
15,59
16,60
17,61
18,62
19,63
20,64
21,65
22,66
23,67
24,68
25,69
26,70
27,71
28,72
29,73
30,74
31,75
32,76
33,77
34,78
35,79
36,81
37,82
38,83
39,85
40,86
41,87
42,89
43,91
44,92
45,94
46,95
47,97
48,98
49,99
50,100
51,101
52,103
53,104
54,105
55,107
56,108
57,109
58,111
59,112
60,113
61,115
62,116
63,117
64,118
65,120
66,121
67,123
68,124
69,125
70,126
71,127
72,128
73,129
74,130
75,132
76,133
77,134
78,136
79,137
80,138
81,140
82,141
83,143
84,144
85,145
86,147
87,148
88,149
89,151
90,152
91,154
92,155
93,157
94,158
95,160
